poblacion,0-14,primario,secundario,polimodal,lee_y _esc,NoLee_ni_e
845.0,186.0,190.0,279.0,42.0,753.0,42.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
845.0,186.0,190.0,279.0,42.0,753.0,42.0
845.0,186.0,190.0,279.0,42.0,753.0,42.0
845.0,186.0,190.0,279.0,42.0,753.0,42.0
845.0,186.0,190.0,279.0,42.0,753.0,42.0
1059.0,275.0,324.0,333.0,67.0,950.0,63.0
1059.0,275.0,324.0,333.0,67.0,950.0,63.0
845.0,186.0,190.0,279.0,42.0,753.0,42.0
493.0,130.0,144.0,171.0,12.0,424.0,45.0
1059.0,275.0,324.0,333.0,67.0,950.0,63.0
493.0,130.0,144.0,171.0,12.0,424.0,45.0
493.0,130.0,144.0,171.0,12.0,424.0,45.0
1059.0,275.0,324.0,333.0,67.0,950.0,63.0
1059.0,275.0,324.0,333.0,67.0,950.0,63.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
1043.0,171.0,281.0,311.0,47.0,954.0,42.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
733.0,158.0,111.0,180.0,19.0,672.0,32.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
733.0,158.0,111.0,180.0,19.0,672.0,32.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
733.0,158.0,111.0,180.0,19.0,672.0,32.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
733.0,158.0,111.0,180.0,19.0,672.0,32.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
821.0,230.0,285.0,226.0,73.0,702.0,72.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
821.0,230.0,285.0,226.0,73.0,702.0,72.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
821.0,230.0,285.0,226.0,73.0,702.0,72.0
821.0,230.0,285.0,226.0,73.0,702.0,72.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0
668.0,212.0,88.0,88.0,26.0,562.0,62.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
643.0,104.0,118.0,171.0,42.0,595.0,20.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
723.0,174.0,164.0,157.0,27.0,661.0,40.0
723.0,174.0,164.0,157.0,27.0,661.0,40.0
723.0,174.0,164.0,157.0,27.0,661.0,40.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
723.0,174.0,164.0,157.0,27.0,661.0,40.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
668.0,212.0,88.0,88.0,26.0,562.0,62.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
796.0,127.0,124.0,222.0,33.0,738.0,30.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
723.0,174.0,164.0,157.0,27.0,661.0,40.0
723.0,174.0,164.0,157.0,27.0,661.0,40.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
627.0,185.0,60.0,85.0,23.0,573.0,27.0
668.0,212.0,88.0,88.0,26.0,562.0,62.0
668.0,212.0,88.0,88.0,26.0,562.0,62.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
627.0,185.0,60.0,85.0,23.0,573.0,27.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
627.0,185.0,60.0,85.0,23.0,573.0,27.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
714.0,141.0,96.0,184.0,35.0,649.0,32.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
714.0,141.0,96.0,184.0,35.0,649.0,32.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
784.0,106.0,116.0,194.0,29.0,735.0,23.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
668.0,212.0,88.0,88.0,26.0,562.0,62.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
714.0,141.0,96.0,184.0,35.0,649.0,32.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
935.0,183.0,220.0,293.0,69.0,852.0,41.0
935.0,183.0,220.0,293.0,69.0,852.0,41.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
935.0,183.0,220.0,293.0,69.0,852.0,41.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
985.0,161.0,166.0,198.0,47.0,915.0,35.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
485.0,67.0,68.0,131.0,24.0,448.0,21.0
485.0,67.0,68.0,131.0,24.0,448.0,21.0
485.0,67.0,68.0,131.0,24.0,448.0,21.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
517.0,108.0,146.0,161.0,19.0,467.0,30.0
517.0,108.0,146.0,161.0,19.0,467.0,30.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
985.0,161.0,166.0,198.0,47.0,915.0,35.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
517.0,108.0,146.0,161.0,19.0,467.0,30.0
