ID,totalpobl,hogares,Desocupado,0 - 14,65 y más,Inicial (j,Primario,EGB,Secundario,Polimodal,Superior n,Universita,Post unive,lee_y _esc,NoLee_ni_e,Hacinamien,sin red ag,Sin cloaca,dens pob,macroz_2,Clasifica,Area_Has,Seccion,Y_WGS,X_WGS,Callidad_Residuo
PV1,848,259,39,190,97,35,124,80,180,50,78,225,22,766,40,1,0,23,8.445,6,4,490,8,-32.86601312,-68.87539668,Buena
PV10,12,1,0,1,0,0,3,0,0,3,5,0,0,12,0,0,0,0,0.409,3,2,113,7,-32.87422,-68.85939,Mala
PV11,620,215,17,101,103,16,79,42,156,29,62,189,15,577,22,1,0,0,61.018,6,4,490,6,-32.87347,-68.85207,Buena
PV12,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,39.914,2,1,411,1,-32.87689,-68.84286,Regular
PV13,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,39.914,2,1,411,1,-32.87688,-68.84286,Buena
PV14,664,268,21,104,120,16,103,12,154,30,65,233,8,610,18,2,2,0,36.211,2,1,411,1,-32.87759,-68.83989,Regular
PV15,1314,285,52,382,39,49,569,140,236,110,25,34,0,1133,85,5,0,6,43.67,6,4,176,11,-32.88753,-68.90318,Mala
PV16,1016,311,37,184,130,32,141,43,261,50,145,284,11,945,38,0,0,1,10.684,6,4,490,7,-32.87731,-68.873,Mala
PV18,411,192,11,50,100,13,41,11,90,8,57,160,17,390,10,2,0,0,87.671,1,1,225,1,-32.88336,-68.84285,Buena
PV19,704,212,25,91,142,10,131,11,218,10,58,205,27,660,24,0,0,0,49.598,2,1,411,1,-32.88223,-68.83864,Regular
PV20,767,284,25,81,136,16,42,30,124,35,96,379,24,732,18,1,0,0,60.356,2,1,411,5,-32.89107,-68.86036,Buena
PV21,767,284,25,81,136,16,42,30,124,35,96,379,24,732,18,1,0,0,60.356,2,1,411,5,-32.89124,-68.85895,Buena
PV22,700,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,33.844,2,1,411,5,-32.89253,-68.85469,Buena
PV23,511,201,10,86,80,13,64,30,109,13,46,189,23,476,14,1,0,0,62.416,6,4,90,5,-32.88535933,-68.85548672,Buena
PV24,315,165,7,20,65,0,29,3,75,5,35,150,12,310,2,0,3,0,108.696,1,1,225,2,-32.88941,-68.84705,Buena
PV25,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,37.544,1,1,225,2,-32.88809288,-68.84159087,Buena
PV27,466,113,5,56,61,7,67,39,108,20,46,155,13,442,15,1,0,0,52.108,1,1,225,1,-32.88676,-68.84199,Buena
PV28,395,131,9,30,67,4,50,9,91,21,40,159,9,376,9,1,0,0,85.442,1,1,225,1,-32.88836007,-68.83908338,Buena
PV29,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,37.544,1,1,225,2,-32.88985,-68.84323,Buena
PV3,878,309,27,123,192,20,115,38,181,41,91,327,36,831,25,0,0,2,69.804,6,4,490,6,-32.86608,-68.85376,Buena
PV31,700,282,17,80,121,19,52,19,97,21,56,382,26,658,21,0,0,0,33.844,6,4,114,5,-32.89731,-68.85313,Buena
PV32,309,142,7,23,48,4,21,4,58,8,36,157,11,297,4,0,3,0,48.146,2,1,411,2,-32.89827,-68.84135,Buena
PV33,1020,358,41,192,91,30,96,72,213,49,140,342,16,941,33,0,0,1,229.937,2,1,411,2,-32.89875,-68.83903,Buena
PV34,528,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,46.598,6,4,41,2,-32.90131,-68.8489,Buena
PV35,631,264,14,96,119,13,69,25,115,27,54,278,22,596,14,0,0,2,64.991,2,1,411,2,-32.90114,-68.85285,Buena
PV36,656,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,53.1,6,4,114,5,-32.90226,-68.85418,Buena
PV37,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,86.166,6,4,490,7,-32.87286,-68.86756,Mala
PV39,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,13.145,1,1,225,2,-32.89815492,-68.84474207,Regular
PV4,1018,346,46,182,195,40,216,27,274,39,137,208,14,922,58,2,0,2,76.645,6,4,112,4,-32.86292,-68.83332,Regular
PV5,778,239,31,170,82,26,163,55,257,51,57,109,2,705,37,4,0,2,87.761,6,4,131,4,-32.87105339,-68.82580223,Regular
PV6,1376,332,67,429,105,73,613,68,359,48,22,30,0,1157,116,20,0,8,126.914,6,4,490,8,-32.86903,-68.86789,Buena
PV7,985,375,38,161,145,28,166,47,198,47,120,312,15,915,35,1,0,3,70.478,6,4,490,6,-32.87072,-68.84756,Buena
PV8,452,169,24,49,92,8,55,19,102,18,56,174,12,439,8,0,0,0,129.106,6,4,112,4,-32.86913,-68.83767,Buena
PV9,963,321,19,204,155,26,204,44,278,28,95,207,9,868,41,2,0,0,58.068,6,4,131,4,-32.87426,-68.82783,Regular
R1,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,,6,4,112,4,-32.8623,-68.83421,Regular
R11,785,233,23,115,110,16,154,52,214,30,80,179,13,724,29,2,0,0,61.782,6,4,131,4,-32.87086,-68.83159,Buena
R12,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,39.914,2,1,411,1,-32.87435,-68.84197,Buena
R13,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,39.914,2,1,411,1,-32.87395,-68.84311,Buena
R14,519,245,9,65,132,11,73,12,119,9,59,198,12,484,14,0,0,0,39.914,2,1,411,1,-32.87742,-68.84217,Buena
R16,634,202,18,87,97,16,102,26,184,22,54,194,9,593,24,0,0,0,37.404,2,1,411,1,-32.88166,-68.8432,Buena
R17,750,270,14,132,86,19,150,43,181,27,84,197,7,696,25,1,0,1,54.007,2,1,411,4,-32.87894,-68.83529,Buena
R18,668,239,17,82,113,9,76,22,210,17,80,210,10,627,17,0,0,0,53.147,2,1,411,1,-32.88202,-68.83989,Buena
R19,352,163,10,49,52,11,26,16,64,10,38,158,9,324,11,0,0,0,100.142,2,1,411,5,-32.88391,-68.85365,Buena
R19,411,192,11,50,100,13,41,11,90,8,57,160,17,390,10,2,0,0,87.671,1,1,225,1,-32.88393,-68.84482,Buena
R2,1174,293,99,342,103,38,514,80,271,70,25,43,0,1008,81,19,0,7,108.865,6,4,490,8,-32.86561,-68.86139,Buena
R20,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,56.481,6,4,90,5,-32.88548,-68.85506,Buena
R21,319,123,6,47,68,9,26,13,53,8,29,154,11,295,13,0,0,0,47.141,6,4,90,5,-32.88643,-68.85072,Regular
R22,5,0,0,0,1,0,4,0,0,0,0,1,0,3,2,0,0,0,0.019,4,2,609,9,-32.88526,-68.86721,Buena
R23,266,126,12,31,42,9,29,3,66,5,38,98,5,247,9,0,0,0,29.071,2,1,411,3,-32.88739,-68.82992,Buena
R24,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,37.544,1,1,225,2,-32.88776,-68.84365,Regular
R25,358,138,7,50,57,13,42,17,78,10,39,135,8,331,18,0,0,0,66.358,6,4,20,6,-32.88162,-68.85736,Buena
R26,398,196,13,32,116,4,41,11,75,15,48,175,17,387,1,0,1,0,37.544,1,1,225,2,-32.88776,-68.84365,Buena
R27,548,238,7,59,99,15,48,9,95,19,50,275,19,518,15,0,0,1,40.575,6,4,90,5,-32.8902437,-68.85432414,Buena
R28,548,238,7,59,99,15,48,9,95,19,50,275,19,518,15,0,0,1,40.575,6,4,90,5,-32.89026014,-68.85433393,Buena
R3,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,47.352,6,4,112,4,-32.86588,-68.84179,Buena
R30,697,295,31,92,109,20,41,30,111,14,55,367,29,651,24,1,1,1,80.981,6,4,114,5,-32.89845,-68.85396,Buena
R31,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,13.145,1,1,225,2,-32.89607131,-68.8501888,Regular
R32,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,13.145,1,1,225,2,-32.89632,-68.84584,Regular
R33,562,164,17,106,53,21,66,19,97,22,68,223,14,510,25,0,0,2,13.145,2,1,411,2,-32.89655,-68.84129,Regular
R35,845,253,36,186,122,27,190,56,279,42,57,118,8,753,42,2,0,3,,6,4,112,4,-32.8623,-68.83421,Buena
R36,401,147,2,54,84,10,44,13,81,11,21,194,18,383,13,0,0,0,47.647,6,4,41,2,-32.90273,-68.84567,Buena
R37,340,152,4,25,71,7,31,4,74,13,23,160,17,322,8,1,0,0,44.938,2,1,411,2,-32.89217,-68.85032,Regular
R38,656,263,20,86,111,15,66,19,112,26,74,305,16,620,19,0,0,0,53.1,6,4,114,5,-32.90217,-68.85428,Buena
R39,770,299,10,88,154,12,73,24,140,19,62,380,38,740,14,0,0,2,56.481,6,4,90,5,-32.88548,-68.85506,Buena
R4,876,287,39,157,125,23,229,59,261,57,55,130,8,810,35,3,0,1,73.713,6,4,131,4,-32.87064,-68.8212,Regular
R40,528,188,11,87,102,16,40,24,82,18,47,250,23,487,16,0,0,0,46.598,6,4,41,2,-32.90143,-68.84837,Regular
R41,699,176,14,60,103,10,194,21,152,12,54,211,15,656,30,0,0,0,46.368,2,1,411,3,-32.89305,-68.83231,Buena
R42,743,302,23,121,96,21,115,47,203,26,94,187,16,691,32,2,0,1,32.555,2,1,411,3,-32.88441,-68.82913,Buena
R43,564,190,12,48,113,5,56,16,101,22,71,261,18,538,13,0,0,0,53.042,6,4,114,5,-32.89678611,-68.85914577,Buena
R5,1190,351,23,208,113,43,76,103,141,61,93,576,66,1120,44,0,66,3,29.117,5,3,278,10,-32.87228,-68.88335,Buena
R6,1057,259,56,300,71,51,430,65,254,55,34,45,3,904,90,14,0,2,86.166,6,4,490,7,-32.87273,-68.86721,Mala
R7,1259,325,107,361,98,53,517,78,335,72,37,52,1,1101,83,11,2,11,117.411,6,4,490,8,-32.8678,-68.86221,Buena
R8,784,305,27,106,122,18,116,26,194,29,109,236,18,735,23,1,5,0,47.352,6,4,112,4,-32.86588,-68.84179,Buena
R9,452,169,24,49,92,8,55,19,102,18,56,174,12,439,8,0,0,0,129.106,6,4,112,4,-32.8689,-68.83785,Buena
