ID,valoracion
PV1,0.000
PV11,1.000
PV12,1.000
PV13,1.000
PV14,1.000
PV15,1.000
PV16,0.000
PV18,0.000
PV19,0.000
PV2,1.000
PV20,0.000
PV21,0.000
PV22,0.000
PV23,1.000
PV24,0.000
PV25,1.000
PV27,1.000
PV28,1.000
PV29,1.000
PV31,1.000
PV32,0.000
PV33,0.000
PV34,1.000
PV35,1.000
PV36,1.000
PV38,0.000
PV39,0.000
PV4,1.000
PV40,1.000
PV41,1.000
PV42,1.000
PV43,1.000
PV44,1.000
PV45,1.000
PV46,1.000
PV47,1.000
PV48,0.000
PV5,1.000
PV7,1.000
PV8,1.000
PV9,0.000
R1,1.000
R11,1.000
R12,1.000
R13,0.000
R14,0.000
R15,0.000
R16,0.000
R17,0.000
R18,1.000
R19,0.000
R20,0.000
R21,0.000
R22,1.000
R23,1.000
R24,1.000
R25,1.000
R26,0.000
R27,0.000
R28,0.000
R29,1.000
R3,1.000
R30,1.000
R31,0.000
R32,1.000
R33,1.000
R34,1.000
R35,1.000
R36,1.000
R37,0.000
R38,1.000
R39,1.000
R4,1.000
R40,1.000
R5,0.000
R8,1.000
R9,1.000